Clock frequency is approx. 1000.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	2770	2775	2724	2709	2665	2637	2618	2572	2544	2526	2513	2273	2384	2317	2244	
64m	2774	2778	2723	2714	2668	2646	2627	2573	2548	2542	2499	2284	2350	2257	2167	
32m	2777	2778	2728	2712	2653	2643	2644	2591	2527	2540	2501	2332	2343	2238	2148	
16m	2780	2796	2732	2717	2677	2645	2624	2555	2610	2592	2562	2510	2387	2313	2329	
8m	2765	2776	2683	2702	2602	2608	2533	2575	2584	2540	2542	2465	2452	2426	2404	
4m	2791	2791	2774	2771	2733	2720	2707	2672	2667	2664	2628	2621	2580	2542	2520	
2m	2774	2819	2771	2770	2735	2720	2708	2667	2668	2657	2631	2501	2583	2552	2521	
1024k	2806	2814	2769	2767	2729	2715	2703	2673	2663	2646	2624	2612	2567	2535	2512	
512k	2861	2856	2834	2824	2815	2800	2783	2740	2763	2747	2724	2717	2719	2707	2671	
256k	2846	2844	2830	2819	2790	2781	2765	2731	2731	2724	2660	2635	2674	2644	2622	
128k	2824	2809	2767	2740	2724	2675	2691	2587	2688	2666	2723	2702	2689	2644	2759	
64k	2870	2839	2819	2789	2783	2759	2774	2657	2648	2579	2698	2521	2575	2554	2439	
32k	2849	2809	2759	2694	2666	2622	2614	2459	2427	2458	2465	2427	2161	2340	2280	
16k	2809	2731	2676	2521	2538	2427	2443	2138	2080	2184	2103	1928	1892	1754	2015	
